カテゴリ,重要度,効果係数,メモ
BSCT加速,100,,他の編成キャラで補えるものの先手でBSを打てることが重要であるため
BSCT進行,100,,他の編成キャラで補えられない
BS後退低減,100,,他の編成キャラで補えられる
HACT加速,100,,他の編成キャラで補えるものが少ない
ダメージカット,80,,装備じゃなくて他の編成キャラで補える
ダメージ増加,80,,それよりも同じパーセンテージの攻撃力上昇のほうが強い
ダメージ無効化,80,,確率次第で強力だが、基本的に防御力をあげているほうが耐える
ヒートゲージ上昇,100,,通常攻撃のヒートゲージ上昇は弱い。ダメージも入る速度上昇のほうが優先。BSでヒートゲージを多く上げるキャラには優秀
不死,90,,かつては強力だった。だが不死の上限は70%であるため、少し遅延させる程度
会心威力上昇,100,,会心率が100%にできればかなり強力。会心率はキャラ固有のアビで100%のものもいる
会心率上昇,100,,他の装備で上げられる上昇値以上に上げられるなら強い
体力上昇,60,,他の装備で上げられる上昇値以上に上げられるなら強い
再起効果強化,50,,弱い
命中率上昇,100,,他の装備で上げられる上昇値以上に上げられるなら強い
回復,100,,攻撃時は弱くはないがバトル開始時は他のキャラの固有アビリティにもある
回避率上昇,90,,他の装備で上げられる上昇値以上に上げられるなら強い
攻撃力上昇,100,,上昇率による。必須。
敵BSCT減少,80,,発動条件による。通常攻撃時なら弱い。
敵BSCT減速,80,,発動条件による。通常攻撃時なら弱い。
敵ヒートゲージ増加,100,,強い
敵会心率減少,50,,常時発動でないなら弱すぎる
敵回避率減少,50,,常時発動でないなら弱すぎる
敵攻撃減少,50,,常時発動でないなら弱すぎる
敵速度減少,50,,常時発動でないなら弱すぎる
敵防御減少,50,,常時発動でないなら弱すぎる
特殊効果付与,100,,強い
特殊効果確率上昇,100,,強い
状態異常付与,100,,強い
状態異常確率上昇,100,,強い
被特殊効果確率低減,100,,強い
被状態異常確率低減,100,,強い
資金獲得量上昇,0,,ベクトルが違う
速度上昇,100,,強い
連打カット,50,,50%超えるなら強い
連打増幅,50,,それよりも同じパーセンテージの攻撃力上昇のほうが強い
防御力上昇,60,,上昇率による。必須。
